Date,Amoxicillin,Isoniazid,Rifampicin,Metronidazole,Pyrazinamide,Azithromycin,Penicillin,Trimethoprim,Sulfamethoxazole,Ciprofloxacin,Ethambutol,Ceftriaxone,Benzathine penicillin,Cefalexin,Flucloxacillin,Sulfadiazine,Chloramphenicol,Kanamycin,Doxycycline ,Levofloxacin,Moxifloxacin,Ethionamide,Clarithromycin,Clindamycin,Nitrofurantoin,Ampicillin,Gentamicin,Ofloxacin,Cefotaxime,Rifabutin,Cefazolin,Amikacin,Piperacillin,Meropenem,Vancomycin,Fosfomycin,Ceftazidime,Cloxacillin
18_Oct,22292144.978922684,5955363.734026731,7152470.103341706,2616368.3085654057,10092850.729424028,635922.1712430791,703957.5894988712,2775773.859908223,13881719.613571346,1445216.2419034643,6699908.12484191,691501.39021953,164884.20966586535,780623.0496607063,4187496.9637430063,7284.178206917861,1720758.4604296756,87922.13417082399,152602.69379743063,86361.93943596855,165560.02400960386,48640.63666672456,15845.16246442988,14653.501522401044,4542.124542124541,296369.4820994091,3591.208791208792,113316.32653061228,3473.3893557422957,0.0,77551.02040816327,7261.9047619047615,8857.142857142857,786.8020304568525,5000.0,0.0,0.0,0.0
18_Sep,17971706.540697064,5578446.386151248,6667034.83061604,1983801.6363113767,7685233.607308024,732326.8647379901,887830.4333513645,2193012.0010779924,10967522.023699522,2115408.300671353,5234967.102874244,527026.0926019859,156686.60533482162,417042.875941943,3621842.07535207,8216.274148833298,500134.7652712263,67112.73181262067,137295.8342826764,40546.11650485437,177749.09963985594,27490.601503759404,15835.820306079098,14816.752625365065,3225.8064516129034,196332.98574904414,4140.659340659339,137806.1224489796,10982.93862999746,0.0,88775.51020408158,6696.428571428569,8571.42857142857,761.4213197969541,0.0,0.0,0.0,0.0
19_Apr,18065166.016287684,5181442.056615313,5624600.99190812,1430074.6449512145,4524252.432117517,668486.5761604388,970209.2727477811,834283.8218016956,4172168.788495658,620654.0889927531,2586849.971969152,491158.70875794976,228537.84150526766,555550.3386582303,4858337.454384015,7472.5471254883205,1139436.31032357,5191.583979876243,139142.7317877165,178461.34278191818,88691.56836284776,91918.14569767856,15334.028191383757,11683.86369739095,9154.844988842995,271907.69839272246,2039.51833607006,30357.142857142862,6317.00956244567,8782.98653610771,103571.42857142857,2500.000000000001,15584.415584415583,1535.836177474403,2047.78156996587,0.0,0.0,0.0
19_Aug,16661973.858922496,3521584.157964185,3854029.7259376864,1554669.9277903936,4948464.85030891,610853.5838762675,762966.0720416696,2640582.4076129394,13209260.530128187,461445.8392371645,3336093.4596306384,254189.0046371385,452746.96266982344,325489.6838335864,3352972.9956476097,5177.235506676796,1110749.6819547717,5364.636779205451,71611.96938424167,164537.33863710408,117093.41470837242,92913.57591155896,11007.964396797033,31713.658755038072,4018.3845626241846,133988.5297184567,1967.0329670329663,337925.9789021991,6593.809492651344,22200.02412996062,98412.69841269845,1313.5593220338976,16103.896103896102,1587.0307167235499,2116.040955631399,4571.428571428572,3463.6871508379895,0.0
19_Dec,25482919.617631093,9194576.362070676,9250435.007073576,2995670.974473086,12359349.878650632,733277.9500034938,854000.2486874587,1978566.5727342265,9895101.156354057,913514.0038991212,8864762.1289379,404954.302882417,127157.90008530465,328853.1042234072,3280869.969551109,14497.351122094935,1257099.0005283551,24867.98499349117,46725.57184957294,672041.4034919227,224373.47921665706,89800.25088042571,11007.964396797033,16373.673740053055,18005.751806983615,229072.56333190209,2583.333333333334,204420.6701437574,6444.444444444445,28560.0646461671,64583.33333333335,1313.5593220338976,29879.51807228917,1587.0307167235499,2116.040955631399,32370.600414078675,3463.6871508379895,259615.38461538462
19_Feb,14315161.69696501,4265610.2475994555,3462771.9007583437,1365741.9735460517,4667788.898905732,419400.9372166249,1045673.7785480834,878780.6870361628,4394889.247146627,755232.1749321556,3181949.0187078267,374576.6275727769,181789.91934793227,522977.7645887829,3071363.143778925,3477.314657559773,875209.7992306971,4845.478381217827,85943.96135265702,222243.74874145674,123385.64114879644,101741.92437009813,14311.759645291506,10904.93945089822,9794.871794871797,201021.89781021897,644.4444444444443,41190.47619047618,22851.5406162465,7714.285714285715,79999.99999999999,2333.333333333334,42770.562770562785,2857.1428571428573,4444.444444444445,0.0,0.0,0.0
19_Jan,12145629.168048602,3564410.710617034,3646361.116403381,1785985.8819299093,4289841.778766843,415337.34031415725,755675.9504141577,1297070.105328716,6487352.930489736,708140.4982518922,2737752.527651376,371645.7467023266,185279.66264092928,496116.13928369526,2337077.838795006,3679.0040175413724,842635.4803284951,5364.636779205451,64074.86197377503,175418.75721826992,138366.8302847455,172354.56743386522,15845.16246442988,26100.785774870725,8868.309110244598,159294.65216743635,713.4920634920632,78750.0,3473.3893557422957,10242.091836734695,73809.5238095238,4488.0952380952385,60952.380952380954,3163.265306122449,4920.634920634922,0.0,0.0,0.0
19_Jul,13750038.81128497,3298540.859139216,4078756.8780448553,1796938.6317542219,4886682.642263432,667520.1228236522,1175159.412426272,2718629.4901510887,13597664.752342748,707633.6892809003,3105261.886702163,853998.7718275968,125176.2372952359,244070.6698555426,2765765.2298684153,5447.076776518066,1172852.4833655246,5364.636779205451,85063.15645622433,279442.1560419215,141100.3349273236,101692.04059755789,11007.964396797033,8334.864500522846,4018.3845626241846,348274.244004171,1145.6043956043952,62195.37815126052,6527.576547860525,40145.96463466317,269246.0317460318,1313.5593220338976,16103.896103896102,1587.0307167235499,2116.040955631399,0.0,3016.759776536313,0.0
19_Jun,20116056.096204754,3928798.530067942,4253563.598990388,1658996.8741443,7438429.059398403,860523.6601195892,707032.5934992733,1606198.7921527852,8035769.679154731,574492.7464804586,4673383.717166795,580225.3186401764,125435.05003238315,310574.0659720625,3136685.272182845,7592.286480916301,1786506.7298449373,5191.583979876243,96306.76842463324,142570.75008665214,124548.71121999061,98411.65219118506,10652.868771093905,6122.762148337598,3888.759254152437,316703.3561194146,1609.5238095238092,33690.47619047619,6317.00956244567,15492.109634551498,71428.57142857142,1271.1864406779655,15584.415584415583,1535.836177474403,2047.78156996587,0.0,0.0,0.0
19_Mar,14564301.646582298,4300354.517663693,3855727.857319843,1826095.9704749756,4494929.138074202,567648.0464522886,705979.0904517152,929835.128089084,4649950.3092488395,702029.0877708229,3043249.635100417,423794.8627638137,196733.74951344228,548857.842025398,3537832.976936162,5368.910445699679,988661.8191968258,5364.636779205451,81598.67149758455,235279.30931010924,101290.81111779978,94982.08388760118,15845.16246442988,12073.325820637316,10844.322344322347,149345.67257559957,856.3492063492067,31369.047619047626,16488.16768086545,12581.632653061224,138928.57142857142,2583.3333333333344,16103.896103896102,2299.2268579786864,3360.4203911371146,0.0,0.0,0.0
19_May,28188640.68843399,3770094.243795608,3734944.537871547,2028944.1040980688,6062714.399963731,698410.5565563773,763313.8456324165,1722697.3611861095,8616149.76754269,637715.5562970217,3695700.9328224044,490527.3997347047,174547.54759783502,375507.1840736196,3391685.014018013,8161.853428126824,1132959.1154271169,5364.636779205451,96263.5095516488,238554.92193100316,123790.81111779982,97741.82414734144,13470.283237376741,11788.300003081378,5063.977267791357,264605.20550754655,3811.4942528735637,31369.047619047626,6527.576547860525,14809.13621262459,73809.5238095238,1724.5762711864406,16103.896103896102,1587.0307167235499,2116.040955631399,0.0,0.0,0.0
19_Nov,19496641.77951451,4750182.927202104,5697175.81245465,2574743.941606422,8169428.72450249,520529.7780620046,881040.2393020994,2354889.919336608,11785283.04616039,1167743.7715495331,5827855.097619766,688214.7521019126,123056.03234061738,147763.5353453151,2945117.112549399,7915.6691304462765,1400326.8316308558,22036.515702565328,45218.29533829639,463020.05779742525,105636.26815173739,86903.46859396035,10652.868771093905,16574.062144751802,17424.921103532528,170161.82763062435,2168.57142857143,161176.61762353318,6236.559139784947,13880.008006727172,114880.95238095235,1271.1864406779655,28915.662650602422,1535.836177474403,2047.78156996587,26761.170106191144,3351.9553072625704,0.0
19_Oct,21189109.978015628,5564708.093500461,6760217.532383205,2430876.2659883657,8326494.432733807,682880.6902880829,1307763.171741765,3017432.070555636,15095308.686111512,1887841.0779725602,5951594.850277615,375489.3102055709,143249.7114996967,152688.98652349223,3105993.3983860575,8793.776114147855,972515.2497203394,17648.1189220626,46725.57184957294,297738.2240147426,90189.34843515787,89800.25088042571,11007.964396797033,18802.56984394916,14370.786686396412,148466.810058806,1594.2857142857151,204186.85951424245,6530.377668308704,14479.360864654494,184920.6349206349,1313.5593220338976,26843.999374119856,1587.0307167235499,2116.040955631399,126846.24030572102,3463.6871508379895,0.0
19_Sep,16439017.312326621,4554315.839313974,5984326.712173706,2917915.8984636874,6314225.795342218,582725.6803702016,763693.4068414506,2096979.70339049,10493163.39790483,607705.3035584302,4395831.612987876,246408.10532421828,118217.32266319802,158924.24963102938,4798222.39146453,6116.66032136157,884596.4664078435,5191.583979876243,45589.635862179275,206181.13414703618,94845.99701936096,86903.46859396035,10652.868771093905,34860.72548141514,3888.759254152437,140965.02038107874,2162.1978021978016,253023.42213481138,5858.890831082155,18539.934477315408,95238.09523809527,1271.1864406779655,15584.415584415583,1535.836177474403,2047.78156996587,35226.48083623692,3351.9553072625704,0.0
