,Date,Sulfa-Trimetho,Amoxy-Clav,Gentamicin,Cefuroxime,Ciprofloxacin,Cefotaxime,Ampicillin,Ceftazidime,Cefepime,Cefoxitin,Tetracycline,Amikacin,Tobramycin,Azithromycin,Penicillin,Nitrofurantoin,Pip-Tazo,Clindamycin,Levofloxacin,Imipenem,Meropenem,Tigecycline,Cloxacillin,Fucidin,Rifampicin,Moxifloxacin,Fosfomycin,Doripenem,Teicoplanin,Colistin,Ertapenem,Ofloxacin,Vancomycin,Streptomycin HL,Chloramphenicol,Voriconazole,Mupirocin,Naladixiic Acid,Telithromycin,Fluconazole,Ceftazidime-avibactam,Minocycline,Daptomycin
45,2018-02-15,0.45454545454545453,0.47058823529411764,0.1111111111111111,0.5333333333333333,0.3333333333333333,0.36363636363636365,0.5,0.3333333333333333,0.5,0.25,0.25,0.125,0.0,0.6666666666666666,0.25,0.2857142857142857,0.125,0.0,0.4,0.0,0.0,0.0,None,None,None,None,0.0,0.0,0.0,None,0.0,None,0.0,0.0,None,None,None,None,None,None,None,None,None
46,2018-02-16,0.5,0.21428571428571427,0.2,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.25,None,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,None,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
47,2018-02-17,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,None,0.0,None,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,None,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
48,2018-02-18,0.6666666666666666,0.75,0.5,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.5,None,0.0,1.0,None,None,0.0,1.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
49,2018-02-19,0.4,0.25,0.0,0.0,0.0,None,None,None,None,0.0,1.0,None,None,0.5,0.5,0.0,None,0.0,0.0,None,None,0.0,1.0,1.0,0.0,None,0.0,None,0.0,None,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None
50,2018-02-20,0.2,0.3,0.0,0.2,0.0,0.0,None,0.0,0.0,0.25,0.0,1.0,1.0,0.0,None,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,0.0,None,None,None,None
51,2018-02-21,0.5,1.0,0.0,0.5,0.25,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
52,2018-02-22,0.4,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,0.0,0.0,None,None,0.25,0.0,None,0.0,0.3333333333333333,0.25,0.5,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
53,2018-02-23,0.2,0.38461538461538464,0.0,0.4117647058823529,0.2,0.0,1.0,0.0,0.0,0.2,None,0.14285714285714285,0.5,None,None,0.3333333333333333,0.0,None,0.6666666666666666,0.0,0.0,0.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
54,2018-02-24,0.0,0.0,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None
55,2018-02-25,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,None,0.0,0.0,None,None,0.0,0.5,None,None,0.5,0.5,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
56,2018-02-26,0.5,0.3333333333333333,0.14285714285714285,0.2,0.3333333333333333,0.25,1.0,0.2,0.3333333333333333,0.3333333333333333,None,0.16666666666666666,0.25,None,None,0.0,0.16666666666666666,None,0.3333333333333333,0.5,0.5,0.0,None,None,None,None,0.0,0.2,0.0,0.0,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
57,2018-02-27,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.1111111111111111,0.1,0.0,0.5,0.0,0.14285714285714285,0.16666666666666666,0.0,0.2857142857142857,0.4,1.0,None,0.0,0.14285714285714285,None,0.0,0.14285714285714285,0.14285714285714285,0.0,None,None,None,0.0,0.0,0.2,0.0,0.0,0.0,None,0.0,None,None,None,None,None,1.0,None,None,None,None
58,2018-02-28,0.2,0.3333333333333333,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,None,1.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,0.0,None,0.0,None,0.0,1.0,None,None,None,None,None,None,None,None,None
59,2018-03-01,0.3333333333333333,0.8571428571428571,0.25,0.6,0.5,0.25,0.0,0.0,0.3333333333333333,0.75,None,0.0,0.0,None,None,0.3333333333333333,0.0,None,0.0,0.0,0.0,None,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
60,2018-03-02,0.3333333333333333,0.75,0.4,0.5714285714285714,0.4,0.4,1.0,0.5,0.4,0.6666666666666666,None,0.0,0.6666666666666666,None,None,0.5,0.5,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
61,2018-03-03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
62,2018-03-04,0.5,1.0,0.5,1.0,0.0,0.0,None,0.0,0.0,1.0,0.0,0.0,None,0.0,1.0,1.0,0.0,0.0,None,0.0,0.0,0.0,1.0,0.0,1.0,0.0,None,None,1.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
63,2018-03-05,0.0,0.5,0.0,0.0,0.0,None,None,0.0,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,None,0.0,0.0,0.0,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
64,2018-03-06,0.4,0.25,0.0,0.6,0.25,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.0,None,0.3333333333333333,0.6666666666666666,0.5,0.5,0.3333333333333333,None,0.0,0.0,0.0,0.5,0.0,0.0,0.0,None,None,None,None,0.0,None,0.0,None,None,None,None,None,0.0,None,None,None,None
65,2018-03-07,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,1.0,0.0,None,None,None,None,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
66,2018-03-08,0.0,0.42857142857142855,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,None,0.0,None,0.0,0.0,0.0,0.0,None,None,None,0.0,None,0.0,0.0,None,0.0,None,0.0,1.0,None,0.0,None,None,1.0,0.0,None,None,None
67,2018-03-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
68,2018-03-10,0.0,0.5,None,0.0,0.0,None,None,None,None,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
69,2018-03-11,0.5,0.6,1.0,0.2,0.0,0.3333333333333333,None,None,1.0,0.25,None,0.0,None,None,None,0.25,0.0,None,0.0,0.0,0.0,None,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,0.0,None,None,None,None,None
70,2018-03-12,0.5,0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,None,0.5,1.0,None,None,1.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,1.0,None,None,None,None,None,None,None,None
71,2018-03-13,0.6,0.42857142857142855,0.0,0.0,0.0,0.0,None,0.3333333333333333,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.0,1.0,None,None,None,None,None,None,None,None,None,None,None
72,2018-03-14,0.25,0.25,0.0,0.0,0.0,0.3333333333333333,None,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
73,2018-03-15,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,None,None,None,None,0.0,None,None,None,0.0,None,0.0,None,None,None,None,0.0,None,None,None,0.0,None
74,2018-03-16,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,1.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,None,None,None,None,None,None,0.0,None,0.0,None,0.0,0.0,None,None,None,None,None,None,None,None,None
75,2018-03-17,0.3333333333333333,0.5,0.3333333333333333,0.5,0.0,1.0,None,0.0,0.5,0.5,None,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
76,2018-03-18,0.75,0.6,0.3333333333333333,0.0,0.0,0.0,1.0,0.25,0.0,0.0,None,0.0,0.5,None,None,0.0,0.3333333333333333,None,0.3333333333333333,0.0,0.0,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,0.0,None
77,2018-03-19,0.75,0.5,0.25,0.2,0.25,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,None,0.0,0.0,None,1.0,0.0,0.0,None,0.5,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
78,2018-03-20,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,None,0.0,0.0,0.0,0.0,0.0,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,0.0,None
79,2018-03-21,1.0,0.5,None,0.0,0.0,None,None,None,None,0.0,None,None,None,None,None,1.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80,2018-03-22,0.5,0.4444444444444444,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
81,2018-03-23,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,0.0,None,None,None,0.5,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
82,2018-03-24,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
83,2018-03-25,0.2,0.6666666666666666,0.2,0.4,0.16666666666666666,0.5,None,0.0,0.25,0.5,None,0.25,0.3333333333333333,None,None,0.0,0.0,None,0.3333333333333333,0.5,0.5,0.0,0.0,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
84,2018-03-26,0.5,0.4444444444444444,None,0.0,0.0,None,None,None,None,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
85,2018-03-27,0.25,0.5294117647058824,0.2,0.3,0.0,0.14285714285714285,1.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,None,None,None,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,0.0,None,None,None,None
